full_path,line,fixed_line
Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Steinfeld Stendal|Stendal Hbf|Tangerhütte|Zielitz Ort|Wolmirstedt|Magdeburg Rothensee|Magdeburg Eichenweiler|Magdeburg Neustadt|Magdeburg Hbf|Magdeburg Hasselbachplatz|Magdeburg Buckau|Magdeburg SKET Industriepark|Magdeburg Salbke|Magdeburg Südost|Schönebeck Frohse|Schönebeck Elbe,20,RE20
Erfurt Hbf|Vieselbach|Hopfgarten Weimar|Weimar|Oßmannstedt|Apolda|Niedertrebra|Bad Sulza|Großheringen|Bad Kösen|Naumburg Saale Hbf|Leißling|Weißenfels|Großkorbetha|Bad Dürrenberg|Kötzschau|Großlehna|Markranstädt|Leipzig Miltitz|Leipzig Rückmarsdorf|Leipzig Leutzsch|Leipzig Möckern,20,RB20
Schönebeck Bad Salzelmen|Schönebeck Süd|Schönebeck Elbe|Schönebeck Frohse|Magdeburg Südost|Magdeburg Salbke|Magdeburg SKET Industriepark|Magdeburg Buckau|Magdeburg Hasselbachplatz|Magdeburg Hbf|Magdeburg Neustadt|Magdeburg Eichenweiler|Magdeburg Rothensee|Wolmirstedt|Zielitz Ort|Tangerhütte|Stendal Hbf|Kläden Stendal|Hohenwulsch|Brunau Packebusch|Fleetmark|Pretzier Altm|Salzwedel,20,RE20
Schönebeck Bad Salzelmen|Schönebeck Süd|Schönebeck Elbe|Schönebeck Frohse|Magdeburg Südost|Magdeburg Salbke|Magdeburg SKET Industriepark|Magdeburg Buckau|Magdeburg Hasselbachplatz|Magdeburg Hbf|Magdeburg Neustadt|Magdeburg Eichenweiler|Magdeburg Rothensee|Wolmirstedt|Zielitz Ort|Tangerhütte|Stendal Hbf|Steinfeld Stendal|Kläden Stendal|Hohenwulsch|Brunau Packebusch|Fleetmark|Pretzier Altm|Salzwedel,20,RE20
Uelzen|Stederdorf Kr Uelzen|Wieren|Soltendieck|Schnega|Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Stendal Hbf|Tangerhütte|Zielitz Ort|Wolmirstedt|Magdeburg Rothensee|Magdeburg Eichenweiler|Magdeburg Neustadt|Magdeburg Hbf|Magdeburg Hasselbachplatz|Magdeburg Buckau|Magdeburg SKET Industriepark|Magdeburg Salbke|Magdeburg Südost|Schönebeck Frohse|Schönebeck Elbe,20,RE20
Halle Saale Hbf|Halle Ammendorf|Schkopau|Merseburg Hbf|Leuna Werke Nord|Leuna Werke Süd|Großkorbetha|Weißenfels|Leißling|Naumburg Saale Hbf|Bad Kösen|Großheringen|Bad Sulza|Niedertrebra|Apolda|Oßmannstedt|Weimar|Hopfgarten Weimar|Vieselbach|Erfurt Hbf|Erfurt Bischleben|Neudietendorf|Wandersleben|Seebergen|Gotha|Fröttstädt,20,RB20
Uelzen|Stederdorf Kr Uelzen|Wieren|Soltendieck|Schnega|Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Steinfeld Stendal|Stendal Hbf|Tangerhütte|Zielitz Ort|Wolmirstedt|Magdeburg Rothensee|Magdeburg Eichenweiler|Magdeburg Neustadt|Magdeburg Hbf|Magdeburg Hasselbachplatz|Magdeburg Buckau|Magdeburg SKET Industriepark|Magdeburg Salbke|Magdeburg Südost|Schönebeck Frohse|Schönebeck Elbe,20,RE20
Leipzig Hbf|Leipzig Möckern|Leipzig Leutzsch|Leipzig Rückmarsdorf|Leipzig Miltitz|Markranstädt|Großlehna|Kötzschau|Bad Dürrenberg|Großkorbetha|Weißenfels|Leißling|Naumburg Saale Hbf|Bad Kösen|Großheringen|Bad Sulza|Niedertrebra|Apolda|Oßmannstedt|Weimar|Hopfgarten Weimar|Vieselbach|Erfurt Hbf|Erfurt Bischleben|Neudietendorf|Wandersleben|Seebergen|Gotha|Fröttstädt,20,RB20
Eisenach|Wutha|Schönau Hörsel|Sättelstädt|Mechterstädt|Fröttstädt|Gotha|Seebergen|Wandersleben|Neudietendorf|Erfurt Bischleben|Erfurt Hbf|Vieselbach|Hopfgarten Weimar|Weimar|Oßmannstedt|Apolda|Niedertrebra|Bad Sulza|Großheringen|Bad Kösen|Naumburg Saale Hbf|Leißling|Weißenfels|Großkorbetha|Bad Dürrenberg|Kötzschau|Großlehna|Markranstädt|Leipzig Miltitz|Leipzig Rückmarsdorf|Leipzig Leutzsch|Leipzig Möckern,20,RB20
Schwerin Hbf,18,RE18
